,OTU.ID,group,taxIS
204,OTU21672,2,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Pochonia; s__Pochonia_sp_SH012122.07FU
205,OTU6012,2,k__Fungi
206,OTU9358,2,k__Fungi
207,OTU13432,2,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__Cystofilobasidiaceae; g__Guehomyces; s__Guehomyces_pullulans_SH212824.07FU
208,OTU32291,2,k__Fungi; p__Ascomycota; c__Leotiomycetes
209,OTU4568,2,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella
210,OTU6561,2,k__Fungi
211,OTU7674,2,k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Cercozoa_sp_SH183690.07FU
212,OTU16882,2,k__Fungi
213,OTU22837,2,k__Fungi
214,OTU10870,2,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus; s__Cryptococcus_terricola_SH190017.07FU
215,OTU24348,2,k__Fungi; p__Ascomycota; c__Sordariomycetes
216,OTU7016,2,k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Rhizophydiaceae; g__Rhizophydium; s__Rhizophydium_sp_SH467633.07FU
217,OTU30595,2,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales
218,OTU35346,2,k__Fungi
219,OTU29465,2,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__unidentified; g__unidentified; s__Coniochaetales_sp_SH191396.07FU
220,OTU27879,2,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales_sp_SH175271.07FU
221,OTU11400,2,k__Fungi; p__Chytridiomycota
222,OTU11227,2,k__Fungi
223,OTU27089,2,k__Fungi; p__Ascomycota
224,OTU29932,2,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae
225,OTU11596,2,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__Clavaria; s__Clavaria_sp_SH192743.07FU
226,OTU6132,2,k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Cercozoa_sp_SH457224.07FU
227,OTU30815,2,k__Fungi; p__Ascomycota; c__Sordariomycetes
228,OTU4590,2,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella
229,OTU26481,2,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus; s__Cryptococcus_podzolicus_SH181879.07FU
230,OTU19717,2,k__Fungi; p__Basidiomycota; c__Agaricomycetes
231,OTU32214,2,k__Fungi; p__Ascomycota
232,OTU4049,2,k__Fungi
233,OTU19416,2,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes_sp_SH192576.07FU
234,OTU12078,2,k__Fungi
235,OTU18686,2,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__Glomeraceae_sp_SH191191.07FU
236,OTU32971,2,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
237,OTU9938,2,k__Fungi; p__Chytridiomycota
238,OTU35737,2,k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida
239,OTU32415,2,k__Fungi; p__Ascomycota
240,OTU32226,2,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Incertae_sedis; f__Incertae_sedis; g__Leohumicola
241,OTU28321,2,k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Byssonectria; s__Byssonectria_terrestris_SH215677.07FU
242,OTU13552,2,k__Fungi
243,OTU22444,2,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes_sp_SH198277.07FU
244,OTU27076,2,k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__unidentified; s__Pyronemataceae_sp_SH215683.07FU
