,OTU,#,counts total,Group,Kingdom,Phylum,Class,Order,Family,Genus,Species
665,OTU,14883,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],OR-59,
1523,OTU,14895,,1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,,
505,OTU,14911,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
912,OTU,14921,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
165,OTU,14928,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
1922,OTU,14929,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
783,OTU,14933,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
677,OTU,14947,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
418,OTU,14948,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
674,OTU,14968,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
1370,OTU,14996,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
1281,OTU,15049,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
889,OTU,15050,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],,
186,OTU,15131,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
101,OTU,15138,,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,,,
1592,OTU,15172,,1,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,
2023,OTU,15213,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
1393,OTU,15240,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
928,OTU,15258,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
916,OTU,15320,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
1097,OTU,15340,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
